,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,78.24,,,13.69,3.45,7.75,23.66,81.00,16.81,17.49,1.71,-159.34,,,,,,,,UREKA,mai,INDUS,-
2Q2555,69.46,,,1.68,-0.45,0.84,2.20,75.03,24.89,2.42,1.55,-159.48,,,,,,,,UREKA,mai,INDUS,-
3Q2555,82.65,-546.67,,-3.84,-2.91,-1.85,-5.10,76.62,21.98,-4.65,1.98,-168.70,,,,,,,,UREKA,mai,INDUS,-
4Q2555,77.47,,,7.77,0.06,3.68,10.07,79.41,22.39,10.04,1.51,-190.54,,,,,,,,UREKA,mai,INDUS,-
1Q2556,94.50,66.67,-97.10,14.80,0.10,5.87,10.41,78.41,21.31,15.67,0.48,-113.25,4.18,710.60,42.45,0.00,0.00,0.75,20.43,UREKA,mai,INDUS,-
2Q2556,95.07,-30.00,,11.58,0.07,3.88,5.61,80.78,19.06,12.18,0.41,-99.38,3.44,584.80,31.44,2.92,1.18,0.92,13.01,UREKA,mai,INDUS,-
3Q2556,103.42,14.29,,13.19,0.08,4.42,6.10,76.18,22.93,12.75,0.35,-58.32,3.16,537.20,19.01,2.60,1.21,1.00,9.53,UREKA,mai,INDUS,-
4Q2556,110.69,-50.00,-33.33,8.62,0.04,2.72,3.79,79.62,20.78,7.78,0.44,-66.34,3.26,554.20,11.76,2.52,1.29,0.97,9.82,UREKA,mai,INDUS,-
1Q2557,97.12,-87.85,-95.14,0.49,0.00,0.16,0.21,75.95,23.51,0.51,0.31,-72.68,3.56,605.20,12.60,2.65,1.35,3.21,13.22,UREKA,mai,INDUS,-
2Q2557,58.49,,,-8.69,-0.05,-3.11,-3.98,66.36,33.31,-14.86,0.25,-47.39,3.16,537.20,15.73,2.34,1.35,3.62,19.19,UREKA,mai,INDUS,-
3Q2557,71.50,23.06,,-6.07,-0.04,-2.35,-3.03,71.53,27.94,-8.49,0.34,-40.96,3.28,557.60,38.89,2.77,1.18,3.48,57.91,UREKA,mai,INDUS,-
4Q2557,84.21,27.54,,-4.48,-0.03,-1.65,-2.26,71.00,28.97,-5.32,0.40,-17.90,3.76,639.20,N/A,3.30,1.14,3.04,-318.39,UREKA,mai,INDUS,-
1Q2558,93.63,-81.69,,-14.10,-0.05,-3.98,-5.84,70.08,29.32,-15.06,0.51,-17.43,1.36,578.00,N/A,3.05,0.56,1.28,-41.58,UREKA,mai,INDUS,-
2Q2558,69.16,-10.64,-12.07,-26.20,-0.06,-6.53,-9.86,56.88,42.95,-37.88,0.50,-16.49,1.15,488.75,N/A,1.82,0.63,1.89,-16.99,UREKA,mai,INDUS,-
3Q2558,95.50,70.05,56.37,-8.63,-0.02,-2.08,-3.54,67.99,31.47,-9.04,0.91,-6.16,1.01,429.25,N/A,1.83,0.55,2.15,-13.88,UREKA,mai,INDUS,-
4Q2558,120.07,27.64,56.43,-4.95,-0.01,-1.09,-2.13,74.87,24.38,-4.12,1.02,-5.17,1.42,603.56,N/A,2.65,0.54,1.53,-25.30,UREKA,mai,INDUS,-
