,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,438.83,,,-23.40,-0.23,-1.11,-1.87,95.79,4.12,-5.33,0.69,"2,383.25",0.00,667.64,12.54,0.53,12.99,2.92,10.69,VARO,SET,INDUS,IMM
2Q2555,479.15,30.43,,-15.21,-0.16,-0.71,-1.24,96.04,3.86,-3.18,0.82,"2,255.21",5.50,549.46,47.71,0.44,9.95,3.55,14.67,VARO,SET,INDUS,IMM
3Q2555,443.62,-32.10,,-21.46,-0.21,-0.97,-1.79,95.07,4.77,-4.84,0.88,"2,152.68",6.50,649.36,N/A,0.54,12.09,3.00,23.33,VARO,SET,INDUS,IMM
4Q2555,428.71,53.33,,-9.46,-0.10,-0.42,-0.80,96.06,3.70,-2.21,0.94,"2,291.67",5.95,594.42,N/A,0.50,11.87,3.28,35.61,VARO,SET,INDUS,IMM
1Q2556,419.69,,,17.60,0.18,0.80,1.49,95.85,4.15,4.19,0.79,"2,293.70",6.00,599.41,N/A,0.51,11.78,0.00,17.12,VARO,SET,INDUS,IMM
2Q2556,367.85,,-205.64,-48.47,-0.49,-2.28,-4.15,94.72,5.04,-13.18,0.84,"2,378.05",5.00,499.51,N/A,0.42,11.94,0.00,23.78,VARO,SET,INDUS,IMM
3Q2556,346.74,27.81,-67.02,-35.27,-0.35,-1.74,-3.13,94.20,5.17,-10.17,0.76,"2,282.08",5.40,539.47,N/A,0.47,11.45,0.00,28.94,VARO,SET,INDUS,IMM
4Q2556,303.29,13.65,-209.04,-30.45,-0.30,-1.58,-2.79,94.21,5.32,-10.04,0.77,"2,038.46",4.68,467.54,N/A,0.42,11.10,0.00,44.61,VARO,SET,INDUS,IMM
1Q2557,370.22,90.16,,-3.27,-0.03,-0.17,-0.31,95.34,4.51,-0.88,0.86,"1,993.25",0.00,497.51,N/A,0.46,10.75,0.00,185.73,VARO,SET,INDUS,IMM
2Q2557,389.97,-111.10,87.05,-6.05,-0.06,-0.30,-0.57,94.92,4.86,-1.55,0.92,"1,936.77",9.00,899.12,N/A,0.84,10.72,0.00,38.29,VARO,SET,INDUS,IMM
3Q2557,398.00,,,8.44,0.08,0.41,0.79,95.44,4.59,2.12,0.89,"2,101.02",8.55,854.16,N/A,0.80,10.67,0.00,18.68,VARO,SET,INDUS,IMM
4Q2557,418.93,-52.63,,3.83,0.04,0.19,0.36,94.69,4.26,0.91,0.83,"2,194.23",0.00,899.12,N/A,0.84,10.75,0.00,13.32,VARO,SET,INDUS,IMM
1Q2558,403.76,,-85.10,-5.55,-0.06,-0.28,-0.52,94.92,4.40,-1.37,0.80,"2,196.03",8.05,804.21,273.19,0.75,10.79,0.00,12.58,VARO,SET,INDUS,IMM
2Q2558,427.94,,,0.21,0.00,0.01,0.02,93.55,4.47,0.05,0.70,"2,048.91",12.40,"1,238.79","1,846.84",1.16,10.73,0.00,14.56,VARO,SET,INDUS,IMM
3Q2558,328.13,,,-24.74,-0.25,-1.41,-2.33,94.12,5.78,-7.54,0.60,"1,813.09",8.40,839.18,121.08,0.78,10.73,0.00,14.46,VARO,SET,INDUS,IMM
4Q2558,347.41,,-34.43,2.59,0.03,0.16,0.25,93.62,5.80,0.74,0.54,"1,517.04",0.00,749.27,N/A,0.72,10.49,0.00,14.69,VARO,SET,INDUS,IMM
1Q2559,365.19,349.61,,11.63,0.12,0.70,1.10,93.00,6.25,3.18,0.61,"1,296.81",5.80,579.43,N/A,0.55,10.51,0.00,11.40,VARO,SET,INDUS,IMM
