,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,2.05,-238.15,,,,,,,,VCOM,mai,TECH,-
3Q2560,"1,118.87",,,55.82,0.20,10.95,29.25,88.11,10.99,4.99,1.36,-174.17,,,,,,,,VCOM,mai,TECH,-
4Q2560,435.35,-80.20,,11.68,0.04,1.85,3.78,88.69,10.95,2.68,0.88,-227.36,3.32,996.00,16.96,,0.00,0.00,6.59,VCOM,mai,TECH,-
1Q2561,268.55,-64.76,,9.04,0.01,1.24,2.19,84.17,14.35,3.37,0.64,-250.90,3.88,"1,164.00",21.43,3.15,1.23,1.68,6.53,VCOM,mai,TECH,-
2Q2561,416.74,194.92,,14.64,0.04,1.96,3.53,87.74,11.12,3.51,0.97,-221.55,2.94,882.00,18.87,2.36,1.25,2.21,8.96,VCOM,mai,TECH,-
3Q2561,426.07,-9.36,-81.35,12.86,0.04,1.53,3.07,88.26,11.47,3.02,1.04,-249.56,3.42,"1,026.00",27.44,2.80,1.22,1.90,18.71,VCOM,mai,TECH,-
4Q2561,703.00,173.35,157.50,35.25,0.10,3.36,7.95,90.71,8.86,5.01,1.66,-295.08,3.00,900.00,23.67,2.38,1.26,2.17,14.17,VCOM,mai,TECH,-
1Q2562,374.45,-72.37,101.86,11.73,0.03,1.10,2.51,82.75,16.62,3.13,0.92,-288.89,3.14,942.00,16.12,2.30,1.37,3.82,10.65,VCOM,mai,TECH,-
2Q2562,531.43,262.97,148.44,33.48,0.10,3.48,7.09,86.68,13.10,6.30,1.16,-374.73,3.04,912.00,14.55,2.18,1.39,3.95,9.48,VCOM,mai,TECH,-
3Q2562,421.66,-26.06,102.68,27.87,0.08,2.76,5.75,83.25,16.27,6.61,1.01,-436.29,3.00,900.00,11.10,2.18,1.38,4.00,7.57,VCOM,mai,TECH,-
4Q2562,454.28,-78.61,-84.14,8.43,0.02,0.78,1.68,79.42,20.03,1.86,1.29,-403.20,2.80,840.00,9.07,1.93,1.45,4.29,10.68,VCOM,mai,TECH,-
1Q2563,628.90,445.25,213.00,29.45,0.09,2.42,6.09,88.07,10.98,4.68,1.77,-460.94,1.86,558.00,8.36,1.27,1.47,8.60,7.85,VCOM,mai,TECH,-
2Q2563,652.43,61.52,39.29,47.90,0.14,3.61,9.90,90.67,9.61,7.34,1.72,-567.82,3.44,"1,032.00",12.17,2.46,1.40,4.65,10.75,VCOM,mai,TECH,-
3Q2563,552.26,-45.12,3.38,29.51,0.08,2.16,5.82,86.85,12.62,5.34,1.67,-626.46,6.10,"1,830.00",18.89,3.97,1.54,2.62,14.68,VCOM,mai,TECH,-
4Q2563,460.12,,,-0.81,-0.01,-0.06,-0.16,78.97,20.33,-0.18,1.89,-654.02,4.46,"1,338.00",13.70,2.94,1.52,3.59,13.23,VCOM,mai,TECH,-
1Q2564,430.87,,6.84,32.73,0.09,2.51,6.27,85.24,13.34,7.60,1.14,-632.31,5.85,"1,755.00",19.56,3.89,1.50,3.42,13.36,VCOM,mai,TECH,-
2Q2564,558.87,38.58,-8.33,44.02,0.13,3.52,7.95,89.03,10.56,7.88,1.37,-531.99,6.70,"2,056.93",22.47,4.28,1.60,2.92,16.93,VCOM,mai,TECH,-
3Q2564,533.32,-22.31,29.76,37.99,0.10,2.84,6.62,84.81,13.81,7.12,1.29,-434.95,7.20,"2,210.44",25.02,4.17,1.73,2.71,16.25,VCOM,mai,TECH,-
4Q2564,354.55,-12.41,,32.95,0.09,2.53,5.53,82.90,15.76,9.29,1.10,-387.97,7.40,"2,271.84",23.64,4.26,1.74,2.64,12.54,VCOM,mai,TECH,-
1Q2565,374.94,-8.03,-13.28,30.69,0.08,2.38,4.89,83.08,15.39,8.19,1.00,-350.69,7.10,"2,179.74",17.23,3.88,1.83,3.80,11.85,VCOM,mai,TECH,-
2Q2565,611.81,38.53,-13.31,40.87,0.11,3.00,6.51,89.20,10.10,6.68,1.35,-315.74,5.85,"1,795.98",14.56,3.06,1.91,4.62,11.59,VCOM,mai,TECH,-
3Q2565,510.30,-20.24,-11.00,32.92,0.09,2.24,5.37,83.32,14.13,6.45,1.45,-344.03,5.30,"1,657.83",13.98,2.89,1.87,5.00,10.77,VCOM,mai,TECH,-
