,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2555,,,,,,,,,,,3.48,,,,,,,,,VGI,SET,SERVICE,MEDIA
1Q2556,653.66,,,159.89,0.80,11.16,38.05,85.02,14.47,24.46,1.83,,,,,,,,,VGI,SET,SERVICE,MEDIA
2Q2556,737.79,20.00,,253.10,0.96,16.57,37.57,86.88,12.73,34.30,0.88,,,,,,,,,VGI,SET,SERVICE,MEDIA
3Q2556,775.15,-5.21,,270.65,0.91,14.51,22.62,91.84,6.37,34.92,0.40,,92.50,"27,750.00",50.25,0.00,0.00,0.00,18.28,VGI,SET,SERVICE,MEDIA
4Q2556,705.12,-19.78,,224.34,0.73,9.35,13.17,87.56,10.49,31.82,0.42,,131.50,"39,450.00",52.37,24.76,5.31,0.00,30.23,VGI,SET,SERVICE,MEDIA
1Q2557,861.42,27.78,16.60,307.82,0.93,11.06,15.61,85.98,12.60,35.73,0.41,,119.00,"35,700.00",43.25,21.64,5.50,1.99,24.28,VGI,SET,SERVICE,MEDIA
2Q2557,860.28,,,327.80,-0.74,11.03,15.74,86.95,12.19,38.10,0.45,,11.80,"38,939.87",36.88,18.29,0.71,2.00,25.71,VGI,SET,SERVICE,MEDIA
3Q2557,816.73,,-90.65,317.28,0.09,11.30,16.71,85.85,12.78,38.85,0.51,,9.80,"32,339.89",29.75,16.51,0.59,2.32,21.04,VGI,SET,SERVICE,MEDIA
4Q2557,657.21,-33.93,-92.30,192.83,0.06,7.13,10.38,81.15,16.45,29.34,0.40,,11.40,"39,124.50",33.23,22.22,0.51,1.99,26.10,VGI,SET,SERVICE,MEDIA
1Q2558,778.34,33.42,-91.96,257.28,0.07,8.70,12.36,84.41,13.52,33.05,0.43,,12.90,"44,272.46",38.64,22.67,0.57,2.35,30.91,VGI,SET,SERVICE,MEDIA
2Q2558,803.04,0.08,,264.42,0.08,8.09,12.47,84.78,14.25,32.93,0.66,,13.90,"47,704.43",43.56,21.58,0.64,2.18,34.84,VGI,SET,SERVICE,MEDIA
3Q2558,803.91,19.95,5.83,300.84,0.09,8.94,13.80,83.39,14.80,37.42,0.44,,11.80,"40,497.63",39.25,19.96,0.59,2.57,29.40,VGI,SET,SERVICE,MEDIA
4Q2558,624.63,,,15.04,-0.12,0.45,0.72,86.05,12.55,2.41,0.80,,5.45,"18,704.42",36.84,16.05,0.34,2.78,16.30,VGI,SET,SERVICE,MEDIA
