,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,2.45,-121.42,,,,,,,,VL,mai,SERVICE,-
1Q2562,186.31,,,23.42,0.04,1.54,5.52,94.56,5.13,12.57,2.70,-184.54,,,,,,,,VL,mai,SERVICE,-
2Q2562,181.31,-50.00,,17.09,0.02,0.97,2.80,94.18,5.76,9.42,1.41,-222.45,1.50,"1,200.00",17.12,,0.00,0.00,6.03,VL,mai,SERVICE,-
3Q2562,173.21,50.00,,19.90,0.03,1.07,2.57,94.60,5.34,11.49,1.39,-211.70,1.47,"1,176.00",16.55,1.50,0.98,0.00,5.01,VL,mai,SERVICE,-
4Q2562,172.24,-33.33,,20.35,0.02,1.07,2.63,94.13,5.76,11.81,1.51,-279.70,1.42,"1,136.00",14.38,1.48,0.96,0.00,8.49,VL,mai,SERVICE,-
1Q2563,178.35,100.00,0.00,29.47,0.04,1.54,3.68,92.35,5.12,16.52,1.27,-228.26,0.92,736.00,9.11,0.94,0.98,7.61,5.98,VL,mai,SERVICE,-
2Q2563,153.10,-50.00,0.00,14.75,0.02,0.80,1.81,95.92,5.48,9.63,1.23,-182.13,1.13,904.00,10.41,1.11,1.02,6.19,6.74,VL,mai,SERVICE,-
3Q2563,165.21,0.00,-33.33,19.65,0.02,1.09,2.41,93.90,5.15,11.89,1.18,-193.17,1.01,808.00,9.57,0.99,1.02,6.93,6.35,VL,mai,SERVICE,-
4Q2563,152.39,50.00,50.00,20.54,0.03,1.16,2.48,100.12,0.84,13.48,1.11,-232.33,1.06,848.00,10.07,1.04,1.02,6.60,6.74,VL,mai,SERVICE,-
1Q2564,141.97,-66.67,-75.00,5.61,0.01,0.30,0.67,93.30,4.94,3.95,1.35,-256.75,2.60,"2,080.00",24.64,2.49,1.05,2.69,14.50,VL,mai,SERVICE,-
2Q2564,160.84,-50.00,-75.00,6.46,0.01,0.33,0.78,94.23,5.36,4.02,1.37,-265.81,2.40,"1,920.00",31.71,2.28,1.05,2.92,14.32,VL,mai,SERVICE,-
3Q2564,180.72,100.00,-50.00,8.21,0.01,0.43,1.01,95.13,4.54,4.54,1.33,-268.14,1.98,"1,584.00",30.31,1.96,1.01,3.54,13.03,VL,mai,SERVICE,-
1Q2565,166.94,-71.00,-71.00,2.83,0.00,0.15,0.33,95.61,3.68,1.70,1.14,-223.10,1.59,"1,537.04",66.51,1.72,0.93,1.46,13.22,VL,mai,SERVICE,-
2Q2565,172.81,,,-6.06,-0.01,-0.32,-0.67,91.89,8.09,-3.50,1.12,-212.51,1.15,"1,181.38",58.10,1.28,0.91,1.90,12.15,VL,mai,SERVICE,-
3Q2565,219.02,,153.00,25.13,0.03,1.32,2.74,96.18,3.75,11.47,1.04,-242.00,1.41,"1,507.28",192.87,1.67,0.89,1.49,12.07,VL,mai,SERVICE,-
