,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2556,,,,,,,,,,,1.25,-22.43,,,,,,,,VPO,SET,AGRO,AGRI
3Q2557,"2,004.20",,,158.13,0.20,7.56,16.71,88.07,11.19,7.89,1.17,-1.72,,,,,,,,VPO,SET,AGRO,AGRI
4Q2557,300.69,,,-64.30,-0.09,-3.13,-5.70,75.07,24.09,-21.38,0.56,1.59,2.92,"2,744.80",21.74,0.00,0.00,0.00,4.24,VPO,SET,AGRO,AGRI
1Q2558,301.57,31.55,,-55.99,-0.06,-2.86,-4.47,71.15,28.01,-18.57,0.57,6.13,2.40,"2,256.00",24.04,1.76,1.36,2.08,3.63,VPO,SET,AGRO,AGRI
2Q2558,667.16,,,59.57,0.06,3.05,4.85,90.56,9.30,8.93,0.61,68.62,2.14,"2,011.60",39.22,1.64,1.30,2.34,5.96,VPO,SET,AGRO,AGRI
3Q2558,288.86,,,-47.85,-0.05,-2.48,-3.95,75.44,24.05,-16.56,0.58,161.22,1.66,"1,560.40",N/A,1.26,1.31,3.01,21.74,VPO,SET,AGRO,AGRI
4Q2558,224.22,-48.67,8.74,-80.73,-0.08,-4.48,-7.03,117.13,-17.38,-36.00,0.56,323.71,1.27,"1,193.80",N/A,1.00,1.26,3.94,21.25,VPO,SET,AGRO,AGRI
1Q2559,238.70,25.00,0.00,-60.72,-0.06,-3.63,-5.62,84.03,15.93,-25.44,0.53,463.83,1.68,"1,579.20",N/A,1.43,1.18,0.00,28.13,VPO,SET,AGRO,AGRI
2Q2559,307.60,23.33,,-39.29,-0.05,-2.35,-3.80,88.08,11.72,-12.77,0.70,555.71,1.41,"1,325.40",N/A,1.26,1.12,0.00,-60.88,VPO,SET,AGRO,AGRI
3Q2559,302.47,-60.87,-37.52,-67.95,-0.07,-3.94,-6.93,85.78,14.13,-22.46,0.82,763.26,1.22,"1,146.80",N/A,1.13,1.08,0.00,-38.50,VPO,SET,AGRO,AGRI
4Q2559,334.62,32.43,37.50,-44.41,-0.05,-2.59,-4.81,93.25,6.51,-13.27,0.89,501.54,1.47,"1,381.80",N/A,1.46,1.01,0.00,-110.62,VPO,SET,AGRO,AGRI
1Q2560,386.95,-20.00,0.00,-59.93,-0.06,-3.63,-6.87,91.03,8.93,-15.49,0.90,568.51,1.35,"1,269.00",N/A,1.41,0.96,0.00,-102.51,VPO,SET,AGRO,AGRI
2Q2560,357.44,0.00,-30.43,-49.91,-0.06,-3.16,-6.11,89.24,10.55,-13.96,0.97,568.88,1.26,"1,184.40",N/A,1.41,0.90,0.00,-68.67,VPO,SET,AGRO,AGRI
3Q2560,222.72,0.00,18.92,-55.71,-0.06,-3.62,-7.29,85.96,13.85,-25.01,1.06,584.65,1.03,968.20,N/A,1.22,0.84,0.00,-86.20,VPO,SET,AGRO,AGRI
4Q2560,424.07,50.00,40.00,-30.35,-0.03,-2.02,-4.20,88.17,11.50,-7.16,1.09,440.17,0.79,742.60,N/A,1.01,0.78,0.00,-272.59,VPO,SET,AGRO,AGRI
1Q2561,574.94,,,7.74,0.01,0.56,1.09,92.24,6.72,1.35,0.81,351.75,0.81,761.40,N/A,1.07,0.75,0.00,21.14,VPO,SET,AGRO,AGRI
2Q2561,263.10,,98.33,0.56,-0.00,0.04,0.08,85.77,14.00,0.21,0.87,296.50,0.59,554.60,N/A,0.77,0.76,0.00,10.56,VPO,SET,AGRO,AGRI
3Q2561,268.00,"-4,800.00",18.33,-42.81,-0.05,-3.34,-6.15,86.49,13.38,-15.98,0.81,196.48,0.65,611.00,N/A,0.85,0.76,0.00,9.37,VPO,SET,AGRO,AGRI
4Q2561,167.29,-22.45,-100.00,-58.20,-0.06,-4.74,-9.01,77.69,22.10,-34.79,1.00,141.05,0.40,376.00,N/A,0.56,0.72,0.00,10.79,VPO,SET,AGRO,AGRI
1Q2562,226.87,33.33,,-36.63,-0.04,-3.02,-6.12,82.10,16.41,-16.15,1.05,167.62,0.49,460.60,N/A,0.75,0.66,0.00,24.58,VPO,SET,AGRO,AGRI
2Q2562,420.66,,,34.21,0.04,2.88,5.73,89.84,10.00,8.13,0.93,152.33,0.59,554.60,N/A,0.96,0.62,0.00,14.91,VPO,SET,AGRO,AGRI
3Q2562,184.75,,24.49,-38.75,-0.04,-3.32,-6.51,79.48,19.78,-20.97,1.00,195.42,0.49,460.60,N/A,0.75,0.65,0.00,12.89,VPO,SET,AGRO,AGRI
4Q2562,254.32,72.97,83.33,-6.29,-0.01,-0.56,-1.10,84.71,14.33,-2.47,0.95,198.71,0.62,582.80,N/A,1.01,0.61,0.00,8.54,VPO,SET,AGRO,AGRI
1Q2563,182.49,-600.00,-75.00,-66.97,-0.07,-6.30,-12.56,84.79,15.08,-36.70,1.04,198.72,0.29,272.60,,,,0.00,7.76,VPO,SET,AGRO,AGRI
2Q2563,285.12,,-86.84,5.75,0.00,0.55,1.15,90.30,9.62,2.02,1.17,226.87,0.42,394.80,N/A,0.79,0.53,0.00,13.89,VPO,SET,AGRO,AGRI
3Q2563,295.39,,86.84,-4.87,-0.00,-0.46,-0.97,88.33,9.73,-1.65,1.01,242.59,0.38,357.20,N/A,0.71,0.53,0.00,8.33,VPO,SET,AGRO,AGRI
4Q2563,352.44,,,36.75,0.04,3.70,7.12,93.03,7.11,10.43,0.84,227.38,0.52,488.80,N/A,0.98,0.53,0.00,6.61,VPO,SET,AGRO,AGRI
1Q2564,202.65,,47.94,-34.25,-0.04,-3.70,-6.61,83.03,12.02,-16.90,0.74,222.64,0.70,658.00,N/A,1.23,0.57,0.00,6.00,VPO,SET,AGRO,AGRI
2Q2564,546.15,,"1,366.53",67.14,0.07,7.43,12.56,95.06,4.84,12.29,0.65,228.98,1.39,"1,306.60",386.42,2.61,0.53,0.00,7.46,VPO,SET,AGRO,AGRI
3Q2564,399.00,-75.43,,16.49,0.02,1.86,2.86,92.91,6.20,4.13,0.42,207.11,2.02,"1,898.80",29.31,3.34,0.60,0.00,8.97,VPO,SET,AGRO,AGRI
1Q2565,488.15,,92.40,-2.60,-0.00,-0.26,-0.45,93.74,6.14,-0.53,1.00,340.82,1.89,"1,776.60",,,,0.00,12.64,VPO,SET,AGRO,AGRI
2Q2565,"1,202.52",,16.82,78.43,0.08,7.55,12.73,97.50,2.50,6.52,0.41,410.53,1.45,"1,391.20",17.86,2.41,0.61,0.00,5.63,VPO,SET,AGRO,AGRI
3Q2565,279.22,,,-32.16,-0.03,-3.58,-5.03,90.55,9.39,-11.52,0.40,473.29,1.30,"1,222.00",13.71,1.86,0.70,0.00,8.06,VPO,SET,AGRO,AGRI
