,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2561,,,,,,,,,,,2.57,142.15,,,,,,,,VRANDA,SET,SERVICE,TOURISM
1Q2562,501.33,,,58.11,0.24,1.20,4.29,73.77,25.03,11.59,2.57,226.85,,,,,,,,VRANDA,SET,SERVICE,TOURISM
2Q2562,406.30,-93.51,,10.09,0.02,0.20,0.59,68.30,26.33,2.48,1.51,310.50,9.90,"3,164.85",18.31,,0.00,0.00,7.57,VRANDA,SET,SERVICE,TOURISM
3Q2562,423.82,39.63,,10.30,0.02,0.20,0.50,71.51,25.13,2.43,1.46,390.85,9.20,"2,941.07",18.46,1.42,6.49,0.00,6.51,VRANDA,SET,SERVICE,TOURISM
4Q2562,415.45,-61.20,,4.69,0.01,0.09,0.22,69.43,28.53,1.13,1.61,791.16,8.50,"2,717.29",19.04,1.30,6.52,0.00,15.62,VRANDA,SET,SERVICE,TOURISM
1Q2563,511.99,606.26,-75.19,18.76,0.06,0.34,0.90,75.18,23.64,3.66,1.68,916.62,4.64,"1,483.32",,,,4.31,14.00,VRANDA,SET,SERVICE,TOURISM
2Q2563,524.53,-92.62,-71.77,1.38,0.00,0.03,0.07,81.49,17.02,0.26,1.61,987.11,6.00,"1,918.09",43.75,0.91,6.57,1.67,14.57,VRANDA,SET,SERVICE,TOURISM
3Q2563,465.36,,,-8.56,-0.03,-0.16,-0.41,79.44,19.12,-1.84,1.54,993.09,5.60,"1,790.22",50.95,0.87,6.47,1.79,14.28,VRANDA,SET,SERVICE,TOURISM
4Q2563,501.05,,186.04,7.09,0.02,0.13,0.34,78.73,19.48,1.42,1.59,957.21,6.00,"1,918.09",117.88,0.93,6.45,1.67,14.58,VRANDA,SET,SERVICE,TOURISM
1Q2564,356.13,,,-34.67,-0.11,-0.66,-1.69,73.54,21.59,-9.74,1.50,919.92,6.85,"2,189.82",117.27,1.06,6.47,1.46,18.01,VRANDA,SET,SERVICE,TOURISM
2Q2564,314.48,-1.97,,-35.36,-0.11,-0.71,-1.77,73.40,23.88,-11.24,1.50,826.57,6.65,"2,125.88",N/A,1.04,6.36,1.50,21.49,VRANDA,SET,SERVICE,TOURISM
3Q2564,239.76,-40.88,-481.60,-49.81,-0.16,-1.02,-2.56,73.05,24.55,-20.77,1.53,791.78,6.50,"2,077.93",N/A,1.06,6.15,1.54,27.30,VRANDA,SET,SERVICE,TOURISM
4Q2564,397.10,,65.67,12.59,0.04,0.26,0.65,78.06,20.58,3.17,1.48,708.01,6.20,"1,982.03",N/A,1.03,6.00,1.61,27.69,VRANDA,SET,SERVICE,TOURISM
1Q2565,306.88,,38.40,-21.36,-0.07,-0.45,-1.11,69.08,25.71,-6.96,1.47,601.25,6.25,"1,998.01",,,,0.00,26.46,VRANDA,SET,SERVICE,TOURISM
2Q2565,323.86,,,1.72,0.01,0.04,0.09,69.48,27.08,0.53,1.42,511.81,6.90,"2,237.77",N/A,1.17,5.97,0.00,22.24,VRANDA,SET,SERVICE,TOURISM
3Q2565,329.93,18.25,,2.03,0.01,0.04,0.11,69.72,27.87,0.62,1.38,415.14,7.45,"2,397.61",N/A,1.26,5.98,0.00,17.59,VRANDA,SET,SERVICE,TOURISM
