,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,"1,158.10",84.00,3.37,111.02,0.92,1.82,2.23,84.56,12.84,9.59,0.22,364.22,0.00,"6,300.00",15.99,1.29,40.86,4.00,11.94,WACOAL,SET,CONSUMP,FASHION
2Q2555,"1,126.12",30.43,15.38,143.53,1.20,2.34,2.88,79.43,13.46,12.75,0.24,361.43,42.50,"5,100.00",12.82,1.01,42.14,4.94,9.90,WACOAL,SET,CONSUMP,FASHION
3Q2555,"1,061.80",-40.83,-16.47,84.78,0.71,1.37,1.69,82.48,14.47,7.98,0.23,375.97,47.00,"5,640.00",13.53,1.15,40.89,4.47,11.50,WACOAL,SET,CONSUMP,FASHION
4Q2555,931.18,-8.45,30.00,77.84,0.65,1.22,1.49,81.92,13.79,8.36,0.21,356.86,47.25,"5,670.00",14.21,1.10,42.94,4.44,11.27,WACOAL,SET,CONSUMP,FASHION
1Q2556,"1,044.72",-1.54,-30.43,77.17,0.64,1.20,1.46,81.54,13.84,7.39,0.23,357.82,52.00,"6,240.00",14.96,1.18,44.11,4.62,13.49,WACOAL,SET,CONSUMP,FASHION
2Q2556,"1,013.28",10.94,-40.83,85.05,0.71,1.36,1.66,77.04,14.70,8.39,0.22,360.05,50.00,"6,000.00",15.65,1.14,43.96,4.80,15.09,WACOAL,SET,CONSUMP,FASHION
3Q2556,889.04,-36.62,-36.62,54.20,0.45,0.90,1.09,78.87,17.18,6.10,0.20,358.44,50.00,"6,000.00",18.47,1.21,41.37,4.80,16.43,WACOAL,SET,CONSUMP,FASHION
4Q2556,879.23,-28.89,-50.77,37.94,0.32,0.63,0.76,78.33,18.29,4.31,0.20,348.74,50.00,"6,000.00",20.39,1.21,41.31,4.80,18.29,WACOAL,SET,CONSUMP,FASHION
1Q2557,898.91,103.13,1.56,78.37,0.65,1.28,1.55,80.72,14.88,8.72,0.22,361.14,0.00,"6,150.00",24.18,1.23,41.68,4.39,18.87,WACOAL,SET,CONSUMP,FASHION
2Q2557,"1,039.55",32.31,21.13,102.88,0.86,1.67,2.03,76.92,14.88,9.90,0.21,363.01,49.50,"5,940.00",23.25,1.16,42.75,4.55,16.94,WACOAL,SET,CONSUMP,FASHION
