,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2562,,,,,,,,,,,1.33,-321.02,,,,,,,,WGE,SET,PROPCON,CONS
2Q2563,469.47,,,29.12,0.07,3.77,10.13,89.55,9.81,6.20,2.05,-437.38,,,,,,,,WGE,SET,PROPCON,CONS
3Q2563,257.10,-27.13,,21.12,0.05,2.47,7.20,92.46,7.22,8.21,1.78,-578.28,,,,,,,,WGE,SET,PROPCON,CONS
4Q2563,138.81,,,-4.65,-0.02,-0.50,-0.97,81.05,16.19,-3.35,0.56,-574.85,1.47,882.00,12.31,,0.00,0.00,3.24,WGE,SET,PROPCON,CONS
1Q2564,144.09,-79.21,,-17.32,-0.03,-1.68,-2.68,84.03,15.53,-12.02,0.64,-766.09,1.84,"1,104.00",24.46,1.68,1.09,0.00,14.52,WGE,SET,PROPCON,CONS
2Q2564,216.18,88.73,,-2.71,-0.00,-0.24,-0.42,90.32,9.34,-1.25,0.87,-864.84,1.99,"1,194.00",103.43,1.87,1.06,0.00,40.68,WGE,SET,PROPCON,CONS
3Q2564,295.03,,-86.25,3.93,0.01,0.30,0.62,91.85,7.67,1.33,1.18,-754.32,1.93,"1,158.00",N/A,1.82,1.06,0.00,123.61,WGE,SET,PROPCON,CONS
4Q2564,534.88,665.40,,30.13,0.05,2.02,4.60,95.04,4.59,5.63,1.38,-934.02,1.88,"1,128.00",N/A,1.76,1.07,0.00,29.05,WGE,SET,PROPCON,CONS
1Q2565,515.84,-49.59,,15.19,0.03,0.92,2.24,95.08,4.76,2.94,1.52,"-1,150.41",1.84,"1,104.00",,,,2.72,18.25,WGE,SET,PROPCON,CONS
2Q2565,384.19,,"-3,715.68",-77.39,-0.13,-4.62,-12.26,93.90,5.75,-20.14,1.82,"-1,269.14",1.53,924.00,19.85,1.35,1.14,3.25,118.27,WGE,SET,PROPCON,CONS
3Q2565,404.29,77.52,,-17.38,-0.03,-1.08,-3.06,93.92,5.41,-4.30,1.83,"-1,312.22",1.45,906.00,N/A,1.57,0.96,3.31,-865.21,WGE,SET,PROPCON,CONS
