,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
3Q2559,,,,,,,,,,,0.26,,,,,,,,,WHABT,SET,PROPCON,PF&REIT
4Q2559,52.91,,,2.51,,0.10,0.12,,,4.74,0.26,,10.10,"2,040.20",,1.00,10.09,0.00,,WHABT,SET,PROPCON,PF&REIT
1Q2560,53.92,,,30.42,,1.19,1.51,,,56.42,0.27,,9.95,"2,009.90",,0.99,10.00,1.10,,WHABT,SET,PROPCON,PF&REIT
2Q2560,52.32,,,28.00,,1.10,1.39,,,53.53,0.27,,0.00,"2,020.00",,1.00,10.00,1.10,,WHABT,SET,PROPCON,PF&REIT
3Q2560,54.37,,,30.05,,1.18,1.49,,,55.26,0.27,,9.80,"1,979.60",,0.98,9.98,1.12,,WHABT,SET,PROPCON,PF&REIT
4Q2560,55.18,,,57.91,,2.25,2.85,,,104.95,0.27,,9.90,"1,999.80",,0.99,9.98,1.11,,WHABT,SET,PROPCON,PF&REIT
1Q2561,55.42,,,31.02,,1.20,1.52,,,55.97,0.27,,9.85,"1,989.70",,0.97,10.11,5.58,,WHABT,SET,PROPCON,PF&REIT
2Q2561,53.55,,,28.12,,1.09,1.38,,,52.52,0.27,,10.00,"2,020.00",,0.99,10.10,5.50,,WHABT,SET,PROPCON,PF&REIT
3Q2561,53.08,,,29.02,,1.12,1.43,,,54.68,0.27,,10.00,"2,020.00",,0.99,10.07,5.50,,WHABT,SET,PROPCON,PF&REIT
4Q2561,51.31,,,65.09,,2.50,3.17,,,126.86,0.27,,10.10,"2,040.20",,1.00,10.06,5.44,,WHABT,SET,PROPCON,PF&REIT
1Q2562,54.96,,,27.95,,1.07,1.35,,,50.86,0.27,,0.00,"2,020.00",,0.98,10.23,5.43,,WHABT,SET,PROPCON,PF&REIT
2Q2562,56.07,,,29.52,,1.13,1.43,,,52.66,0.27,,0.00,"2,020.00",,0.98,10.21,5.43,,WHABT,SET,PROPCON,PF&REIT
3Q2562,56.85,,,19.60,,0.75,0.95,,,34.47,0.28,,0.00,"1,999.80",,0.97,10.21,5.48,,WHABT,SET,PROPCON,PF&REIT
4Q2562,73.33,,,100.15,,3.77,4.80,,,136.59,0.27,,10.00,"2,020.00",,0.99,10.15,5.43,,WHABT,SET,PROPCON,PF&REIT
1Q2563,64.45,,,37.64,,1.39,1.77,,,58.41,0.27,,9.90,"1,999.80",,0.94,10.49,5.50,,WHABT,SET,PROPCON,PF&REIT
2Q2563,58.99,,,30.85,,1.14,1.45,,,52.30,0.27,,9.70,"1,959.40",,0.92,10.52,5.61,,WHABT,SET,PROPCON,PF&REIT
3Q2563,59.35,,,32.27,,1.19,1.52,,,54.38,0.28,,0.00,"1,959.40",,0.92,10.51,5.61,,WHABT,SET,PROPCON,PF&REIT
4Q2563,58.52,,,65.36,,2.40,3.06,,,111.67,0.27,,8.40,"1,696.80",,,,6.48,,WHABT,SET,PROPCON,PF&REIT
1Q2564,58.40,,,33.69,,1.23,1.56,,,57.69,0.27,,8.70,"1,757.40",,0.82,10.65,6.83,,WHABT,SET,PROPCON,PF&REIT
2Q2564,46.19,,,34.02,,1.25,1.58,,,73.65,0.26,,8.40,"1,696.80",,0.79,10.65,7.08,,WHABT,SET,PROPCON,PF&REIT
3Q2564,55.58,,,33.29,,1.23,1.55,,,59.91,0.26,,8.60,"1,737.20",,0.81,10.67,6.91,,WHABT,SET,PROPCON,PF&REIT
4Q2564,52.18,,,65.35,,2.39,3.01,,,125.25,0.26,,8.55,"1,727.10",,0.80,10.66,6.95,,WHABT,SET,PROPCON,PF&REIT
3Q2565,164.24,,,107.74,,3.92,4.92,,,65.60,0.25,,9.10,"1,838.20",,0.84,10.83,7.08,,WHABT,SET,PROPCON,PF&REIT
1Q2566,55.04,,,36.63,,1.32,1.66,,,66.56,0.25,,9.05,"1,838.20",,0.82,11.03,7.30,,WHABT,SET,PROPCON,PF&REIT
2Q2566,58.45,,,36.63,,1.31,1.64,,,62.66,0.25,,8.10,"1,656.40",,0.74,11.05,8.10,,WHABT,SET,PROPCON,PF&REIT
