,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,0.43,,,,,,,,,WHAIR,SET,PROPCON,PF&REIT
1Q2560,144.17,,,106.34,,1.29,1.84,,,73.76,0.42,,9.75,"5,551.26",,0.97,10.07,0.00,,WHAIR,SET,PROPCON,PF&REIT
2Q2560,144.22,,,-745.94,,-9.51,-13.82,,,-517.22,0.49,,7.65,"4,355.60",,0.75,10.26,0.00,,WHAIR,SET,PROPCON,PF&REIT
3Q2560,143.65,,,107.18,,1.45,2.17,,,74.61,0.49,,8.05,"4,583.35",,0.93,8.68,0.00,,WHAIR,SET,PROPCON,PF&REIT
4Q2560,144.79,,,107.01,,1.35,1.96,,,73.91,0.41,,8.25,"4,697.22",,0.95,8.69,0.00,,WHAIR,SET,PROPCON,PF&REIT
1Q2561,175.72,,,98.45,,1.12,1.64,,,56.02,0.51,,7.85,"5,515.68",,0.92,8.51,2.73,,WHAIR,SET,PROPCON,PF&REIT
2Q2561,179.88,,,301.79,,3.29,4.94,,,167.77,0.49,,7.00,"4,918.44",,0.82,8.58,3.06,,WHAIR,SET,PROPCON,PF&REIT
3Q2561,180.97,,,111.54,,1.21,1.80,,,61.64,0.49,,6.75,"4,742.78",,0.76,8.82,3.18,,WHAIR,SET,PROPCON,PF&REIT
4Q2561,189.48,,,138.35,,1.46,2.24,,,73.01,0.57,,6.70,"4,707.65",,0.76,8.82,3.20,,WHAIR,SET,PROPCON,PF&REIT
1Q2562,191.70,,,172.00,,1.77,2.77,,,89.72,0.56,,7.80,"5,480.55",,0.89,8.79,2.16,,WHAIR,SET,PROPCON,PF&REIT
2Q2562,188.99,,,310.66,,3.16,4.93,,,164.38,0.55,,9.00,"6,323.71",,1.02,8.85,1.87,,WHAIR,SET,PROPCON,PF&REIT
3Q2562,200.23,,,143.81,,1.45,2.25,,,71.82,0.55,,9.85,"6,920.95",,1.08,9.09,1.71,,WHAIR,SET,PROPCON,PF&REIT
4Q2562,187.03,,,129.89,,1.31,2.03,,,69.45,0.55,,8.80,"6,183.18",,0.97,9.09,1.91,,WHAIR,SET,PROPCON,PF&REIT
1Q2563,170.72,,,126.75,,1.28,1.99,,,74.24,0.56,,6.55,"4,602.25",,,,12.13,,WHAIR,SET,PROPCON,PF&REIT
2Q2563,174.53,,,139.45,,1.41,2.19,,,79.90,0.55,,8.10,"5,691.34",,0.89,9.06,9.81,,WHAIR,SET,PROPCON,PF&REIT
3Q2563,166.53,,,116.61,,1.18,1.83,,,70.02,0.55,,7.90,"5,550.81",,0.87,9.09,10.06,,WHAIR,SET,PROPCON,PF&REIT
4Q2563,174.70,,,226.27,,2.11,3.28,,,129.51,0.55,,7.65,"6,427.03",,0.84,9.08,8.69,,WHAIR,SET,PROPCON,PF&REIT
1Q2564,192.33,,,250.17,,2.17,3.34,,,130.08,0.52,,7.90,"6,637.06",,0.90,8.81,7.44,,WHAIR,SET,PROPCON,PF&REIT
2Q2564,189.58,,,168.25,,1.46,2.21,,,88.75,0.52,,8.90,"7,477.19",,0.99,9.03,6.61,,WHAIR,SET,PROPCON,PF&REIT
3Q2564,190.76,,,141.47,,1.22,1.86,,,74.16,0.52,,9.15,"7,687.23",,1.01,9.05,6.43,,WHAIR,SET,PROPCON,PF&REIT
1Q2565,188.70,,,136.02,,1.17,1.77,,,72.08,0.51,,8.70,"7,309.17",,,,7.99,,WHAIR,SET,PROPCON,PF&REIT
2Q2565,183.47,,,124.80,,1.06,1.60,,,68.02,0.51,,7.30,"6,174.99",,0.79,9.26,9.46,,WHAIR,SET,PROPCON,PF&REIT
3Q2565,187.19,,,129.17,,1.10,1.66,,,69.00,0.51,,7.20,"6,090.97",,0.78,9.25,9.59,,WHAIR,SET,PROPCON,PF&REIT
