,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2559,,,,,,,,,,,1.51,,,,,,,,,WHAUP,SET,RESOURC,ENERG
1Q2560,433.66,,,272.51,0.43,1.45,3.61,83.60,5.87,62.84,1.45,,,,,,,,,WHAUP,SET,RESOURC,ENERG
2Q2560,434.09,,,700.82,-0.15,3.57,7.27,86.36,7.05,161.45,0.76,,30.00,"22,950.00",39.56,,0.00,0.00,10.35,WHAUP,SET,RESOURC,ENERG
3Q2560,428.40,,,569.89,0.15,2.77,4.80,88.09,6.72,133.03,0.72,,7.00,"26,775.00",26.23,2.31,3.03,0.00,9.44,WHAUP,SET,RESOURC,ENERG
4Q2560,472.01,-23.74,,437.70,0.11,2.07,3.54,80.23,11.74,92.73,0.70,,8.10,"30,982.50",22.04,2.55,3.17,0.00,14.77,WHAUP,SET,RESOURC,ENERG
1Q2561,438.82,68.90,-55.81,716.18,0.19,3.30,5.54,94.24,1.92,163.20,0.66,,6.40,"24,480.00",12.36,1.95,3.29,3.18,10.71,WHAUP,SET,RESOURC,ENERG
2Q2561,489.68,-63.16,,295.88,0.07,1.32,2.27,79.03,7.45,60.42,0.78,,5.40,"20,655.00",8.52,1.55,3.47,3.77,11.07,WHAUP,SET,RESOURC,ENERG
3Q2561,502.05,142.26,14.96,631.09,0.17,2.74,4.81,80.86,7.46,125.70,0.72,,6.35,"24,288.75",12.03,1.90,3.35,3.20,12.28,WHAUP,SET,RESOURC,ENERG
4Q2561,440.43,-6.15,41.48,608.75,0.16,2.60,4.43,84.22,11.00,138.22,0.69,,5.55,"21,228.75",10.20,1.58,3.51,3.66,10.48,WHAUP,SET,RESOURC,ENERG
1Q2562,478.80,-30.31,-41.63,424.23,0.11,1.82,3.13,88.69,7.21,88.60,0.75,,5.95,"22,758.75",10.11,1.62,3.67,3.55,12.43,WHAUP,SET,RESOURC,ENERG
2Q2562,524.64,102.14,220.27,857.52,0.22,3.74,6.57,82.74,7.87,163.45,0.76,,5.75,"21,993.75",11.22,1.69,3.41,3.68,10.13,WHAUP,SET,RESOURC,ENERG
3Q2562,469.42,-46.80,-29.67,456.20,0.12,1.96,3.43,87.34,9.12,97.18,0.75,,6.80,"26,010.00",10.31,1.99,3.42,3.11,12.24,WHAUP,SET,RESOURC,ENERG
4Q2562,530.06,-12.48,-34.41,399.25,0.10,1.59,2.95,73.77,14.89,75.32,0.95,,5.45,"20,846.25",8.88,1.54,3.54,3.88,12.02,WHAUP,SET,RESOURC,ENERG
1Q2563,656.71,-89.11,-89.75,43.50,0.01,0.16,0.34,59.42,6.10,6.62,1.19,,4.16,"15,912.00",7.45,1.17,3.54,6.07,11.49,WHAUP,SET,RESOURC,ENERG
2Q2563,200.43,629.90,-62.98,317.43,0.08,1.21,2.65,181.18,20.09,158.38,1.19,,4.52,"17,289.00",9.84,1.42,3.18,5.59,15.73,WHAUP,SET,RESOURC,ENERG
3Q2563,461.32,-40.92,-58.89,187.54,0.05,0.72,1.57,81.47,8.76,40.65,1.15,,3.56,"13,617.00",11.19,1.15,3.09,7.09,15.62,WHAUP,SET,RESOURC,ENERG
4Q2563,459.47,40.91,-33.81,264.26,0.07,1.01,2.18,82.46,14.66,57.51,1.15,,4.20,"16,065.00",16.95,1.33,3.17,6.01,18.59,WHAUP,SET,RESOURC,ENERG
1Q2564,770.84,-50.54,200.53,130.71,0.03,0.50,1.05,68.03,10.29,16.96,1.09,,4.48,"17,136.00",21.08,1.41,3.18,5.64,18.34,WHAUP,SET,RESOURC,ENERG
2Q2564,432.71,87.97,-22.61,245.66,0.06,0.94,1.97,113.56,12.06,56.77,1.11,,4.40,"16,830.00",18.70,1.33,3.32,5.74,18.63,WHAUP,SET,RESOURC,ENERG
3Q2564,534.51,-16.24,9.73,205.79,0.05,0.80,1.66,87.44,9.33,38.50,1.05,,4.22,"16,141.50",19.49,1.32,3.20,5.98,17.93,WHAUP,SET,RESOURC,ENERG
1Q2565,600.39,-61.95,-40.09,78.30,0.02,0.30,0.62,82.44,11.57,13.04,1.05,,4.10,"15,682.50",,,,6.16,20.16,WHAUP,SET,RESOURC,ENERG
2Q2565,788.88,161.26,-16.74,204.56,0.05,0.74,1.60,70.14,6.82,25.93,1.29,,3.82,"14,688.00",21.50,1.15,3.35,6.58,18.70,WHAUP,SET,RESOURC,ENERG
3Q2565,884.65,-87.14,-87.21,26.32,0.01,0.09,0.21,64.11,6.22,2.97,1.12,,3.88,"15,300.00",23.83,1.21,3.32,6.31,21.71,WHAUP,SET,RESOURC,ENERG
