,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
4Q2557,,,,,,,,,,,0.29,,,,,,,,,WICE,SET,SERVICE,TRANS
1Q2558,173.80,,,11.53,0.03,3.08,4.10,84.80,14.04,6.63,0.37,,,,,,,,,WICE,SET,SERVICE,TRANS
2Q2558,176.85,0.00,,15.84,0.03,4.17,5.79,84.37,14.33,8.96,0.41,,,,,,,,,WICE,SET,SERVICE,TRANS
3Q2558,168.54,-33.33,,12.37,0.02,2.36,2.93,82.30,16.90,7.34,0.17,,2.66,"1,596.00",28.59,0.00,0.00,0.00,10.66,WICE,SET,SERVICE,TRANS
4Q2558,170.29,100.00,,20.85,0.04,3.04,3.53,81.51,17.16,12.25,0.16,,2.82,"1,692.00",33.93,2.92,0.97,0.00,19.39,WICE,SET,SERVICE,TRANS
1Q2559,160.97,-50.00,-33.33,9.84,0.02,1.40,1.62,80.48,19.26,6.11,0.17,,2.96,"1,776.00",29.31,2.96,1.00,2.36,21.08,WICE,SET,SERVICE,TRANS
2Q2559,220.51,0.00,-33.33,15.84,0.02,2.24,2.65,83.69,15.22,7.18,0.20,,2.82,"1,692.00",28.73,2.77,1.02,2.48,20.46,WICE,SET,SERVICE,TRANS
3Q2559,312.08,100.00,100.00,26.23,0.04,3.21,3.87,83.26,15.63,8.41,0.21,,2.98,"1,942.66",32.98,3.33,0.97,2.16,19.37,WICE,SET,SERVICE,TRANS
4Q2559,342.08,0.00,0.00,30.24,0.04,3.02,3.70,80.05,17.94,8.84,0.24,,3.60,"2,346.84",33.40,3.12,1.15,1.79,19.24,WICE,SET,SERVICE,TRANS
1Q2560,330.36,0.00,100.00,27.87,0.04,2.58,3.19,83.38,16.28,8.44,0.23,,3.74,"2,438.10",31.59,3.14,1.19,2.14,16.53,WICE,SET,SERVICE,TRANS
2Q2560,356.58,0.00,100.00,30.17,0.04,2.80,3.48,86.58,13.17,8.46,0.25,,4.36,"2,842.28",31.06,3.55,1.23,1.83,17.31,WICE,SET,SERVICE,TRANS
3Q2560,371.50,0.00,0.00,32.61,0.04,3.00,3.76,85.08,14.38,8.78,0.26,,4.48,"2,920.51",28.84,3.77,1.19,1.79,16.81,WICE,SET,SERVICE,TRANS
4Q2560,343.89,-50.00,-50.00,16.90,0.02,1.53,1.89,81.15,18.28,4.91,0.23,,5.15,"3,357.28",31.82,4.18,1.23,1.55,21.13,WICE,SET,SERVICE,TRANS
1Q2561,387.18,50.00,-25.00,22.04,0.03,1.93,2.45,84.37,15.26,5.69,0.31,,6.25,"4,074.37",45.42,5.00,1.25,1.92,27.43,WICE,SET,SERVICE,TRANS
2Q2561,435.71,33.33,0.00,35.70,0.04,2.99,4.05,84.52,13.98,8.19,0.40,,3.58,"2,333.80",27.74,2.82,1.27,3.35,16.23,WICE,SET,SERVICE,TRANS
3Q2561,490.53,25.00,25.00,37.03,0.05,3.01,4.21,87.01,12.20,7.55,0.39,,5.10,"3,324.69",37.71,4.27,1.19,2.35,21.29,WICE,SET,SERVICE,TRANS
4Q2561,536.70,-40.00,50.00,18.95,0.03,1.42,2.04,85.67,13.18,3.53,0.48,,3.64,"2,372.91",26.09,2.94,1.24,3.30,14.88,WICE,SET,SERVICE,TRANS
1Q2562,482.97,-33.33,-33.33,9.08,0.02,0.64,0.95,86.47,13.10,1.88,0.48,,4.08,"2,659.75",27.65,3.23,1.26,3.19,17.74,WICE,SET,SERVICE,TRANS
2Q2562,546.19,-50.00,-75.00,4.09,0.01,0.29,0.45,84.00,14.46,0.75,0.61,,3.36,"2,190.38",24.55,2.58,1.30,3.87,19.21,WICE,SET,SERVICE,TRANS
