,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,17.89,"1,000.00",,5.47,0.01,1.61,4.06,59.48,36.63,30.56,1.49,-320.68,0.38,186.38,N/A,1.41,0.27,0.00,19.93,WIN,SET,PROPCON,PROP
2Q2555,13.03,-63.64,,1.82,0.00,0.53,1.31,22.09,70.22,13.96,1.47,-310.58,0.41,201.10,N/A,1.46,0.28,0.00,15.25,WIN,SET,PROPCON,PROP
3Q2555,11.33,,,0.05,0.00,0.01,0.04,28.40,65.83,0.45,1.46,-306.47,0.43,210.91,29.76,1.52,0.28,0.00,14.25,WIN,SET,PROPCON,PROP
4Q2555,12.96,,"5,400.00",26.46,0.06,7.12,14.52,17.49,77.40,204.12,0.78,-265.44,0.80,392.39,39.98,2.82,0.28,0.00,10.69,WIN,SET,PROPCON,PROP
1Q2556,12.56,-96.36,-81.82,1.04,0.00,0.26,0.53,45.21,50.19,8.25,1.38,-223.09,1.25,613.10,18.14,2.72,0.46,0.00,17.43,WIN,SET,PROPCON,PROP
2Q2556,12.45,,,-2.07,-0.00,-0.52,-1.25,21.22,73.97,-16.64,1.38,-179.52,0.75,367.86,12.53,2.20,0.34,0.00,13.28,WIN,SET,PROPCON,PROP
3Q2556,10.63,-54.50,,-3.12,-0.01,-0.80,-1.91,13.61,80.75,-29.30,1.40,-129.98,0.98,480.67,18.87,2.91,0.34,0.00,17.01,WIN,SET,PROPCON,PROP
4Q2556,12.26,16.54,,-2.68,-0.01,-0.69,-1.64,8.49,78.93,-21.86,1.36,-125.25,0.76,372.77,16.71,2.30,0.33,0.00,48.98,WIN,SET,PROPCON,PROP
1Q2557,12.42,67.55,,-0.85,-0.00,-0.22,-0.52,27.75,64.95,-6.87,1.35,-112.75,0.76,377.33,N/A,2.28,0.33,0.00,58.34,WIN,SET,PROPCON,PROP
2Q2557,13.33,-120.93,7.54,-1.89,-0.00,-0.47,-1.16,18.72,74.27,-14.17,1.54,-111.31,1.01,501.45,N/A,3.05,0.33,0.00,70.82,WIN,SET,PROPCON,PROP
3Q2557,13.93,-7.37,35.75,-2.05,-0.00,-0.50,-1.27,20.40,73.77,-14.71,1.54,-111.30,1.08,536.20,N/A,3.30,0.33,0.00,67.55,WIN,SET,PROPCON,PROP
4Q2557,14.25,,,0.96,0.00,0.24,0.59,27.17,58.18,6.70,1.49,-114.28,0.96,476.62,N/A,2.97,0.32,0.00,47.76,WIN,SET,PROPCON,PROP
1Q2558,12.52,-59.89,,0.37,0.00,0.09,0.23,34.87,57.57,2.98,1.46,-126.63,0.99,495.00,N/A,3.06,0.33,0.00,45.68,WIN,SET,PROPCON,PROP
2Q2558,14.14,,-214.21,-5.96,-0.01,-1.37,-3.27,-9.44,102.53,-42.18,1.33,-149.22,0.90,450.12,N/A,2.71,0.33,0.00,59.97,WIN,SET,PROPCON,PROP
3Q2558,15.28,89.87,70.34,-0.78,-0.00,-0.16,-0.38,29.48,64.64,-5.08,1.32,-160.62,0.85,433.61,N/A,2.66,0.33,0.00,51.83,WIN,SET,PROPCON,PROP
4Q2558,58.00,,135.29,2.40,0.00,0.47,1.05,77.11,20.03,4.14,1.15,-229.17,0.63,321.38,N/A,1.86,0.34,0.00,36.08,WIN,SET,PROPCON,PROP
1Q2559,24.45,,,-0.42,-0.00,-0.08,-0.17,58.63,37.86,-1.73,1.23,-246.34,0.59,300.98,N/A,1.41,0.42,0.00,36.29,WIN,SET,PROPCON,PROP
2Q2559,16.30,,98.24,0.21,-0.00,0.04,0.09,39.46,57.97,1.28,1.23,-281.87,0.57,290.77,N/A,1.39,0.41,0.00,25.91,WIN,SET,PROPCON,PROP
3Q2559,19.32,,,4.78,0.01,0.88,1.92,28.42,50.13,24.75,1.12,-312.01,0.46,234.66,519.03,1.13,0.41,0.00,18.58,WIN,SET,PROPCON,PROP
4Q2559,26.20,-4.11,96.36,4.64,0.01,0.86,1.81,57.50,32.33,17.70,1.09,-318.35,0.69,351.99,61.73,1.65,0.42,0.00,22.34,WIN,SET,PROPCON,PROP
1Q2560,35.52,13.43,,5.31,0.01,0.92,1.82,57.18,27.93,14.94,0.89,,0.57,290.77,35.97,1.34,0.43,0.00,17.41,WIN,SET,PROPCON,PROP
2Q2560,28.30,,"-2,280.95",-2.11,-0.01,-0.34,-0.62,50.34,48.81,-7.44,0.80,,0.63,351.46,25.31,1.24,0.56,0.00,19.76,WIN,SET,PROPCON,PROP
3Q2560,16.80,-154.00,,-6.02,-0.01,-0.95,-1.71,17.92,81.31,-35.83,0.78,,0.60,336.69,29.78,1.08,0.56,0.00,30.63,WIN,SET,PROPCON,PROP
