,รายได้รวม,การเติบโตต่อไตรมาส (%),การเติบโตต่อปี (%),กำไรสุทธิ,กำไรต่อหุ้น (EPS),ROA (%),ROE (%),อัตรากำไรขั้นต้น (%),อัตราส่วนการขายและบริหารต่อรายได้ (%),อัตรากำไรสุทธิ (%),หนี้สิน/ทุน (เท่า),วงจรเงินสด (วัน),ราคาล่าสุด (บาท),มูลค่าหลักทรัพย์ตามราคาตลาด (ล้านบาท),P/E (เท่า),P/BV (เท่า),มูลค่าหุ้นทางบัญชีต่อหุ้น (บาท),อัตราส่วนเงินปันผลตอบแทน,EV / EBITDA,Symbol,Market,IndusGroup,BusinessGroup
1Q2555,429.26,,10.71,77.72,0.31,4.89,6.12,76.11,22.70,18.11,0.26,89.59,20.50,"5,134.22",15.68,4.39,4.68,4.88,8.91,WORK,SET,SERVICE,MEDIA
2Q2555,515.60,74.19,-19.40,138.88,0.54,8.13,10.13,81.54,17.36,26.94,0.23,98.79,27.50,"7,070.47",20.25,5.43,5.20,3.54,12.71,WORK,SET,SERVICE,MEDIA
3Q2555,606.06,-1.85,39.47,139.77,0.53,8.12,10.19,83.14,16.20,23.06,0.28,81.69,31.00,"7,970.35",23.41,5.80,5.35,3.14,13.53,WORK,SET,SERVICE,MEDIA
4Q2555,610.87,-62.26,,56.52,0.20,3.22,4.13,80.14,18.10,9.25,0.28,44.65,45.50,"11,698.41",30.78,8.97,5.08,2.14,18.72,WORK,SET,SERVICE,MEDIA
1Q2556,411.30,-35.00,-58.06,33.86,0.13,1.86,2.38,66.87,31.13,8.23,0.28,11.98,51.75,"13,305.34",32.91,9.80,5.28,2.71,22.45,WORK,SET,SERVICE,MEDIA
2Q2556,565.45,153.85,-38.89,83.09,0.33,4.47,5.86,77.73,20.55,14.70,0.34,-7.45,40.75,"10,477.15",29.08,7.48,5.45,3.44,19.14,WORK,SET,SERVICE,MEDIA
3Q2556,611.80,30.30,-18.87,107.64,0.43,5.50,7.40,80.64,19.15,17.59,0.35,-23.32,27.50,"7,070.47",22.96,5.29,5.20,5.09,13.22,WORK,SET,SERVICE,MEDIA
4Q2556,597.38,-74.42,-45.00,22.43,0.11,1.03,1.47,76.20,23.91,3.75,0.50,-18.91,26.50,"6,813.36",24.05,4.70,5.64,5.28,13.58,WORK,SET,SERVICE,MEDIA
1Q2557,455.10,,,-6.57,-0.00,-0.27,-0.43,65.50,29.26,-1.44,0.72,-5.40,26.00,"6,684.81",26.03,4.54,5.72,0.00,14.57,WORK,SET,SERVICE,MEDIA
2Q2557,626.73,,-86.67,12.17,0.04,0.32,0.75,71.52,26.52,1.94,1.83,-15.02,31.75,"8,446.79",37.92,5.75,5.72,0.00,22.80,WORK,SET,SERVICE,MEDIA
3Q2557,676.96,127.27,-76.74,40.31,0.10,0.80,2.30,72.56,25.89,5.96,1.90,-30.12,35.50,"9,444.44",63.00,5.62,6.32,0.00,25.94,WORK,SET,SERVICE,MEDIA
4Q2557,511.07,,,-23.79,-0.06,-0.46,-1.35,60.99,37.28,-4.65,2.02,-54.00,42.00,"11,173.70",170.75,6.54,6.42,0.00,54.44,WORK,SET,SERVICE,MEDIA
1Q2558,443.54,53.33,-600.00,-10.92,-0.03,-0.20,-0.48,61.68,34.66,-2.46,1.10,-77.07,41.75,"12,443.19",836.77,10.28,4.55,0.08,47.78,WORK,SET,SERVICE,MEDIA
2Q2558,688.48,,531.82,111.02,0.28,1.85,3.89,75.34,23.26,16.12,1.11,-112.05,39.75,"16,585.00","1,584.54",6.02,9.24,0.08,41.16,WORK,SET,SERVICE,MEDIA
